11	18	19	10	3	14	7	13	1
12	5	14	7	8	2	3	11	4
4	17	18	19	13	11	16	1	3
6	19	11	13	9	16	1	10	2
1	18	7	14	17	9	15	20	2
5	20	11	10	4	9	7	6	3
7	18	20	3	15	8	5	19	4
15	13	6	18	10	3	8	12	1
20	18	6	13	12	15	4	9	3
19	20	17	12	11	16	7	15	4
17	3	6	14	4	2	1	11	4
16	15	1	14	6	20	7	10	3
6	5	15	4	13	1	16	17	3
16	14	12	3	8	13	2	18	4
11	6	9	12	5	8	3	15	1
8	2	12	16	13	4	14	19	2
6	4	15	19	13	5	8	9	4
8	12	20	17	9	13	18	16	1
3	15	20	10	12	6	16	14	2
1	5	17	16	13	3	9	11	1
11	19	15	1	10	20	6	14	4
20	8	16	19	7	12	15	6	3
18	14	5	10	2	8	16	4	1
11	15	1	20	8	12	5	4	1
6	8	14	7	18	19	4	9	3
13	12	8	18	1	4	15	20	3
8	9	14	16	1	10	19	6	1
7	2	13	14	10	20	11	5	2
1	11	14	17	2	3	7	12	2
18	8	12	2	20	11	5	3	3
20	17	19	9	6	5	2	18	1
19	1	13	9	15	20	6	18	1
17	6	16	11	2	5	9	3	3
1	19	20	16	7	11	12	9	4
12	2	13	7	4	14	17	15	1
16	5	1	7	11	4	9	13	3
15	17	9	3	8	13	7	19	1
8	11	4	17	19	14	7	15	2
17	19	16	7	2	18	14	20	4
14	12	15	17	19	20	11	2	2
11	12	9	8	19	15	17	3	3
9	17	13	15	18	4	1	16	2
18	20	15	8	4	3	9	1	1
13	17	6	9	2	7	8	18	4
19	14	16	10	9	8	20	11	3
